,date,capacity,turnover,open,high,low,close,change,transaction
104,2013-06-11,340403,5352015,15.75,15.8,15.65,15.65,-0.1,153
105,2013-06-13,312060,4886094,15.65,15.75,15.6,15.65,0.0,125
106,2013-06-14,397145,6191859,15.7,15.7,15.55,15.55,-0.1,154
107,2013-06-17,613866,9491099,15.5,15.6,15.35,15.45,-0.1,177
108,2013-06-18,202949,3137014,15.45,15.5,15.4,15.45,0.0,109
109,2013-06-19,315798,4899227,15.5,15.6,15.45,15.5,0.05,98
110,2013-06-20,413082,6402014,15.5,15.55,15.4,15.55,0.05,123
111,2013-06-21,462181,7075387,15.45,15.5,15.05,15.45,-0.1,162
112,2013-06-24,303589,4705266,15.5,15.55,15.4,15.5,0.05,95
113,2013-06-25,473103,7332300,15.45,15.55,15.45,15.55,0.05,220
114,2013-06-26,420217,6592991,15.6,15.75,15.6,15.75,0.2,262
115,2013-06-27,450601,7146783,15.9,15.95,15.8,15.9,0.15,544
116,2013-06-28,303867,4827497,16.0,16.0,15.8,15.85,-0.05,182
117,2013-07-01,498962,7938647,15.85,16.0,15.85,15.85,0.0,138
118,2013-07-02,321030,5111861,16.0,16.0,15.85,15.9,0.05,483
119,2013-07-03,390058,6188772,15.9,15.9,15.85,15.85,-0.05,127
120,2013-07-04,546926,8699926,15.9,16.0,15.8,15.9,0.05,148
121,2013-07-05,1182733,19065398,16.0,16.2,16.0,16.15,0.25,478
122,2013-07-08,2121243,34359770,16.3,16.3,16.1,16.25,0.1,675
123,2013-07-09,1451808,22363458,15.55,15.55,15.3,15.4,0.0,559
124,2013-07-10,356614,5453010,15.35,15.4,15.2,15.2,-0.2,178
125,2013-07-11,586573,8976678,15.25,15.4,15.2,15.2,0.0,234
126,2013-07-12,927000,14356650,15.3,15.6,15.3,15.55,0.35,315
127,2013-07-15,648443,10014520,15.5,15.6,15.3,15.45,-0.1,230
128,2013-07-16,563625,8677539,15.45,15.45,15.3,15.4,-0.05,262
129,2013-07-17,462825,7109911,15.4,15.45,15.3,15.45,0.05,259
130,2013-07-18,443529,6815392,15.5,15.5,15.3,15.4,-0.05,238
131,2013-07-19,556101,8501604,15.4,15.4,15.2,15.3,-0.1,358
132,2013-07-22,633621,9700719,15.4,15.4,15.25,15.25,-0.05,338
133,2013-07-23,564689,8647142,15.3,15.35,15.25,15.3,0.05,334
134,2013-07-24,921509,14218507,15.35,15.5,15.35,15.45,0.15,412
135,2013-07-25,1052314,16336691,15.45,15.65,15.4,15.45,0.0,445
136,2013-07-26,527209,8142677,15.5,15.5,15.4,15.4,-0.05,216
137,2013-07-29,234331,3602413,15.45,15.5,15.3,15.35,-0.05,101
138,2013-07-30,389277,5987148,15.4,15.5,15.3,15.4,0.05,154
139,2013-07-31,322051,4940235,15.4,15.45,15.3,15.3,-0.1,103
140,2013-08-01,240282,3675885,15.3,15.4,15.25,15.35,0.05,118
141,2013-08-02,328950,5054625,15.35,15.4,15.3,15.3,-0.05,122
142,2013-08-05,343769,5302238,15.3,15.45,15.3,15.45,0.15,130
143,2013-08-06,370229,5697872,15.45,15.5,15.3,15.3,-0.15,151
144,2013-08-07,460089,7045001,15.3,15.4,15.25,15.25,-0.05,159
145,2013-08-08,245012,3747983,15.25,15.35,15.25,15.25,0.0,102
146,2013-08-09,282259,4313537,15.25,15.35,15.25,15.3,0.05,130
147,2013-08-12,132458,2030379,15.3,15.4,15.3,15.35,0.05,76
148,2013-08-13,209708,3211711,15.35,15.4,15.25,15.35,0.0,90
149,2013-08-14,994957,15063486,15.25,15.25,15.05,15.05,-0.3,307
150,2013-08-15,625433,9309813,15.0,15.0,14.8,14.85,-0.2,403
151,2013-08-16,377628,5606955,14.8,15.0,14.7,14.8,-0.05,153
152,2013-08-19,229073,3393979,14.8,14.95,14.75,14.8,0.0,112
153,2013-08-20,248445,3703083,14.85,15.0,14.8,14.9,0.1,134
154,2013-08-22,253036,3741083,14.75,14.9,14.7,14.8,-0.1,159
155,2013-08-23,229615,3411830,14.9,15.0,14.8,14.8,0.0,117
156,2013-08-26,119119,1765804,14.85,14.9,14.8,14.8,0.0,84
157,2013-08-27,161300,2385190,14.8,14.85,14.7,14.75,-0.05,85
158,2013-08-28,238121,3484716,14.7,14.7,14.55,14.55,-0.2,143
159,2013-08-29,417882,6089630,14.55,14.65,14.5,14.5,-0.05,134
160,2013-08-30,572000,8401050,14.55,14.85,14.55,14.8,0.3,257
161,2013-09-02,118910,1752573,14.8,14.8,14.7,14.7,-0.1,78
162,2013-09-03,172981,2545718,14.7,14.8,14.65,14.75,0.05,104
163,2013-09-04,214655,3172109,14.75,14.8,14.75,14.8,0.05,115
164,2013-09-05,274944,4089213,14.8,14.95,14.8,14.9,0.1,116
165,2013-09-06,289056,4283827,14.75,14.9,14.75,14.9,0.0,132
166,2013-09-09,261273,3866873,14.8,14.85,14.7,14.85,-0.05,81
167,2013-09-10,205887,3025324,14.85,14.85,14.55,14.8,-0.05,111
168,2013-09-11,213603,3148310,14.75,14.8,14.7,14.7,-0.1,56
169,2013-09-12,189599,2806535,14.8,14.85,14.75,14.75,0.05,130
170,2013-09-13,355551,5289858,14.7,15.05,14.7,15.0,0.25,200
171,2013-09-14,136401,2038904,15.0,15.0,14.9,15.0,0.0,64
172,2013-09-16,165446,2477578,15.0,15.05,14.9,14.9,-0.1,85
173,2013-09-17,482738,7276243,14.9,15.2,14.9,14.9,0.0,171
174,2013-09-18,170337,2532687,15.0,15.0,14.8,14.8,-0.1,99
175,2013-09-23,126101,1878254,14.8,14.95,14.8,14.9,0.1,81
176,2013-09-24,351029,5262676,14.9,15.05,14.9,14.95,0.05,133
177,2013-09-25,278295,4167841,15.0,15.05,14.9,14.95,0.0,97
178,2013-09-26,194369,2898014,15.0,15.0,14.9,14.9,-0.05,95
179,2013-09-27,208995,3108124,14.9,14.95,14.85,14.85,-0.05,92
180,2013-09-30,377558,5536749,14.6,14.8,14.6,14.75,-0.1,163
181,2013-10-01,503628,7385067,14.6,14.8,14.6,14.6,-0.15,212
182,2013-10-02,195611,2884460,14.7,14.8,14.7,14.75,0.15,94
183,2013-10-03,4712527,72904817,14.8,15.75,14.8,15.55,0.8,1511
184,2013-10-04,1485868,22802502,15.55,15.55,15.15,15.2,-0.35,514
185,2013-10-07,694099,10624762,15.4,15.4,15.2,15.3,0.1,214
186,2013-10-08,972937,14925937,15.2,15.5,15.2,15.3,0.0,272
187,2013-10-09,430245,6576620,15.3,15.4,15.2,15.3,0.0,138
188,2013-10-11,879649,13405163,15.4,15.4,15.1,15.1,-0.2,264
189,2013-10-14,940401,14225834,15.1,15.25,15.0,15.1,0.0,219
190,2013-10-15,845060,12838459,15.1,15.3,15.1,15.3,0.2,189
191,2013-10-16,835958,12818253,15.3,15.45,15.2,15.45,0.15,216
192,2013-10-17,2812322,44219085,15.45,15.95,15.45,15.6,0.15,777
193,2013-10-18,608092,9449475,15.6,15.6,15.5,15.6,0.0,197
194,2013-10-21,483229,7506497,15.6,15.65,15.45,15.6,0.0,130
195,2013-10-22,462184,7161281,15.5,15.6,15.45,15.55,-0.05,144
196,2013-10-23,345569,5323193,15.55,15.55,15.3,15.3,-0.25,126
197,2013-10-24,274726,4223029,15.35,15.5,15.25,15.45,0.15,94
198,2013-10-25,182206,2800400,15.45,15.45,15.3,15.3,-0.15,97
199,2013-10-28,783099,12175912,15.3,15.75,15.3,15.35,0.05,295
200,2013-10-29,199296,3080307,15.4,15.55,15.4,15.45,0.1,121
201,2013-10-30,231410,3562061,15.45,15.5,15.3,15.35,-0.1,123
202,2013-10-31,376339,5755552,15.3,15.4,15.2,15.4,0.05,181
203,2013-11-01,256548,3920304,15.4,15.4,15.25,15.3,-0.1,90
204,2013-11-04,272165,4152588,15.6,15.6,15.1,15.2,-0.1,144
205,2013-11-05,506186,7608167,15.15,15.2,14.9,14.9,-0.3,211
206,2013-11-06,426558,6374083,14.9,15.05,14.85,14.95,0.05,157
207,2013-11-07,233795,3472775,14.95,14.95,14.8,14.85,-0.1,104
208,2013-11-08,269616,4020846,14.85,15.05,14.8,14.95,0.1,98
209,2013-11-11,635370,9657430,14.95,15.45,14.9,14.95,0.0,242
210,2013-11-12,266617,3994820,15.0,15.1,14.95,15.0,0.05,117
211,2013-11-13,245408,3684673,14.95,15.1,14.95,15.0,0.0,104
212,2013-11-14,414700,6301118,15.1,15.35,15.05,15.05,0.05,141
213,2013-11-15,393549,5960516,15.1,15.2,15.1,15.2,0.15,118
214,2013-11-18,306330,4685948,15.25,15.35,15.2,15.3,0.1,134
215,2013-11-19,451853,6966747,15.3,15.5,15.3,15.4,0.1,171
216,2013-11-20,336952,5174558,15.4,15.45,15.3,15.3,-0.1,119
217,2013-11-21,395265,6076707,15.35,15.45,15.25,15.4,0.1,124
218,2013-11-22,227088,3488744,15.4,15.45,15.3,15.35,-0.05,84
219,2013-11-25,544101,8395453,15.4,15.5,15.4,15.45,0.1,188
220,2013-11-26,445677,6908136,15.45,15.6,15.45,15.45,0.0,164
221,2013-11-27,628010,9754252,15.5,15.55,15.45,15.45,0.0,183
222,2013-11-28,580789,9040477,15.45,15.6,15.45,15.6,0.15,237
223,2013-11-29,593524,9249121,15.65,15.65,15.5,15.6,0.0,165
224,2013-12-02,497443,7749415,15.6,15.65,15.5,15.55,-0.05,221
225,2013-12-03,392411,6111487,15.6,15.65,15.5,15.55,0.0,153
226,2013-12-04,288550,4482518,15.55,15.55,15.5,15.55,0.0,125
227,2013-12-05,466650,7228007,15.5,15.6,15.4,15.5,-0.05,131
228,2013-12-06,825543,12860015,15.5,15.65,15.45,15.6,0.1,187
229,2013-12-09,1673094,26228212,15.6,15.85,15.55,15.7,0.1,420
230,2013-12-10,532079,8395487,15.75,15.85,15.7,15.75,0.05,199
231,2013-12-11,419803,6605909,15.85,15.85,15.65,15.7,-0.05,153
232,2013-12-12,203784,3183979,15.65,15.7,15.6,15.6,-0.1,90
233,2013-12-13,530948,8348831,15.65,15.8,15.65,15.75,0.15,145
234,2013-12-16,403972,6366451,15.75,15.85,15.7,15.75,0.0,133
235,2013-12-17,287787,4529453,15.75,15.85,15.7,15.7,-0.05,111
236,2013-12-18,431458,6792189,15.7,15.85,15.65,15.7,0.0,155
237,2013-12-19,309110,4864774,15.7,15.8,15.7,15.75,0.05,116
238,2013-12-20,199353,3131723,15.75,15.8,15.65,15.7,-0.05,78
239,2013-12-23,850377,13433437,15.8,15.85,15.7,15.8,0.1,240
240,2013-12-24,262553,4137381,15.8,15.85,15.7,15.75,-0.05,105
241,2013-12-25,358248,5600967,15.8,15.8,15.55,15.6,-0.15,129
242,2013-12-26,274048,4278340,15.6,15.7,15.6,15.6,0.0,104
243,2013-12-27,211649,3313756,15.55,15.7,15.55,15.7,0.1,96
244,2013-12-30,343011,5383117,15.7,15.75,15.6,15.7,0.0,143
245,2013-12-31,605191,9551595,15.75,15.85,15.7,15.8,0.1,185
246,2014-01-02,1650716,26367256,15.8,16.1,15.8,16.0,0.2,521
247,2014-01-03,732099,11637229,16.0,16.0,15.8,15.95,-0.05,222
248,2014-01-06,531203,8444415,15.95,15.95,15.8,15.8,-0.15,194
249,2014-01-07,307943,4876295,15.8,15.9,15.8,15.8,0.0,123
250,2014-01-08,365564,5810193,15.9,15.95,15.8,15.95,0.15,164
251,2014-01-09,560352,8925158,16.0,16.0,15.85,15.95,0.0,155
252,2014-01-10,345101,5490209,15.95,15.95,15.85,15.95,0.0,120
253,2014-01-13,556261,8871033,16.0,16.0,15.85,15.9,-0.05,182
254,2014-01-14,522222,8282967,15.9,15.95,15.8,15.85,-0.05,173
255,2014-01-15,554115,8794774,15.85,15.95,15.8,15.8,-0.05,168
256,2014-01-16,426005,6731778,15.85,15.9,15.75,15.75,-0.05,149
257,2014-01-17,1193370,18829205,15.75,15.9,15.7,15.85,0.1,184
258,2014-01-20,764509,12160916,15.9,16.0,15.85,16.0,0.15,198
259,2014-01-21,384667,6138433,16.0,16.0,15.9,15.9,-0.1,165
260,2014-01-22,199373,3170304,15.95,16.0,15.85,15.9,0.0,113
261,2014-01-23,676509,10789384,15.9,16.0,15.85,15.9,0.0,243
262,2014-01-24,388292,6157008,15.9,15.95,15.75,15.9,0.0,123
263,2014-01-27,500420,7880188,15.8,15.85,15.65,15.75,-0.15,207
264,2014-02-05,620600,9667313,15.4,15.7,15.4,15.55,-0.2,282
265,2014-02-06,1134235,17586072,15.5,15.6,15.45,15.5,-0.05,412
266,2014-02-07,545481,8489719,15.55,15.65,15.45,15.65,0.15,201
267,2014-02-10,333414,5247062,15.7,15.8,15.65,15.75,0.1,160
268,2014-02-11,351115,5483250,15.65,15.7,15.55,15.6,-0.15,128
269,2014-02-12,499466,7795317,15.7,15.75,15.5,15.5,-0.1,243
270,2014-02-13,569454,8858426,15.5,15.65,15.5,15.6,0.1,250
271,2014-02-14,461408,7237912,15.6,15.8,15.6,15.7,0.1,178
272,2014-02-17,372791,5874051,15.8,15.8,15.7,15.75,0.05,147
273,2014-02-18,1391398,22170564,15.85,16.15,15.8,15.85,0.1,452
274,2014-02-19,599972,9552798,15.95,16.0,15.85,15.95,0.1,177
275,2014-02-20,666846,10635581,16.0,16.0,15.9,15.9,-0.05,327
276,2014-02-21,460742,7321622,15.9,15.95,15.85,15.9,0.0,215
277,2014-02-24,422941,6745548,15.9,16.0,15.9,15.95,0.05,183
278,2014-02-25,862992,13809668,16.0,16.1,15.95,15.95,0.0,228
279,2014-02-26,2421801,39241295,16.0,16.35,16.0,16.3,0.35,731
280,2014-02-27,1169281,19074880,16.3,16.4,16.2,16.25,-0.05,371
281,2014-03-03,6001912,103184025,16.3,17.35,16.3,17.35,1.1,1871
282,2014-03-04,3672927,63510959,17.45,17.5,17.05,17.05,-0.3,1259
283,2014-03-05,4627886,81626263,17.15,18.0,17.15,17.75,0.7,1364
284,2014-03-06,2053084,36378823,17.9,18.0,17.55,17.75,0.0,692
285,2014-03-07,3574646,62830553,17.8,17.85,17.2,17.2,-0.55,884
286,2014-03-10,5332245,95787360,17.5,18.3,17.45,18.1,0.9,1629
287,2014-03-11,2787883,50031382,17.95,18.15,17.75,17.9,-0.2,796
288,2014-03-12,6603953,122869655,18.0,19.1,17.95,18.7,0.8,1895
289,2014-03-13,6101970,116715980,19.2,19.5,18.75,19.05,0.35,1899
290,2014-03-14,2211391,41907359,19.0,19.05,18.8,18.9,-0.15,748
291,2014-03-17,4145397,80601800,19.0,19.7,19.0,19.35,0.45,1361
292,2014-03-18,2328043,44888664,19.55,19.6,19.05,19.1,-0.25,708
293,2014-03-19,5240116,104347265,19.4,20.4,19.3,19.7,0.6,1624
294,2014-03-20,6053081,121490779,19.5,20.4,19.5,19.85,0.15,1935
295,2014-03-21,2945574,59344427,19.85,20.5,19.85,20.0,0.15,1077
296,2014-03-24,2692475,51856121,19.8,19.8,18.9,19.4,-0.6,901
297,2014-03-25,2545186,50342370,19.4,20.2,19.25,20.0,0.6,955
298,2014-03-26,1301472,25972499,20.5,20.5,19.75,19.9,-0.1,642
299,2014-03-27,1052484,20872062,19.9,20.1,19.7,19.9,0.0,525
300,2014-03-28,1902529,38067994,19.9,20.35,19.7,19.75,-0.15,821
301,2014-03-31,4814840,99180016,20.5,20.95,20.3,20.5,0.75,1638
302,2014-04-01,1543553,31405883,20.5,20.5,20.2,20.3,-0.2,730
303,2014-04-02,2704438,55621228,20.5,20.75,20.3,20.55,0.25,945
304,2014-04-03,1246727,25579818,20.55,20.7,20.4,20.55,0.0,492
305,2014-04-07,1887231,38169294,20.45,20.5,20.0,20.15,-0.4,636
306,2014-04-08,2558475,51346750,20.15,20.3,19.9,20.1,-0.05,752
307,2014-04-09,2775289,56630461,20.25,20.7,20.1,20.35,0.25,1205
308,2014-04-10,3084261,61890639,20.45,20.5,19.9,19.95,-0.4,868
309,2014-04-11,1741562,34444892,19.8,20.0,19.6,19.7,-0.25,703
310,2014-04-14,2277773,45279375,19.8,20.2,19.55,19.9,0.2,803
311,2014-04-15,2107243,42371213,20.0,20.2,19.95,20.15,0.25,660
312,2014-04-16,6571847,137975083,20.2,21.55,20.2,21.5,1.35,2418
313,2014-04-17,8461260,184784359,21.6,22.5,21.1,21.85,0.35,2865
314,2014-04-18,7188446,160223947,21.95,22.8,21.65,22.1,0.25,2812
315,2014-04-21,2386674,52442568,22.2,22.3,21.65,22.15,0.05,929
316,2014-04-22,5114312,114289552,22.15,22.7,21.9,22.3,0.15,1423
317,2014-04-23,4405173,99369369,22.3,23.0,22.1,22.4,0.1,1537
318,2014-04-24,3341468,75219624,22.35,22.65,22.2,22.6,0.2,1007
319,2014-04-25,10474406,242114688,23.0,23.8,22.25,23.0,0.4,3962
320,2014-04-28,5415270,124824097,23.0,23.45,22.45,23.35,0.35,1718
321,2014-04-29,14212667,351407866,23.7,24.95,23.7,24.95,1.6,4498
322,2014-04-30,16478955,431564724,25.4,26.65,25.4,26.65,1.7,5357
323,2014-05-02,14410524,376292454,27.2,27.4,25.3,25.8,-0.85,5531
324,2014-05-05,12999942,323401876,25.65,25.7,24.1,25.25,-0.55,4771
325,2014-05-06,11499985,299393249,25.25,26.8,25.15,26.25,1.0,5492
326,2014-05-07,6958561,177887492,26.0,26.2,25.25,25.4,-0.85,2440
327,2014-05-08,5679377,142019947,25.2,25.35,24.8,24.95,-0.45,3226
328,2014-05-09,3298811,82843178,24.95,25.45,24.8,24.95,0.0,1837
329,2014-05-12,8331092,213175238,25.1,26.1,24.5,26.05,1.1,2814
330,2014-05-13,6627620,173723172,26.45,26.7,25.55,25.85,-0.2,2385
331,2014-05-14,6039768,156577866,26.6,26.7,25.5,25.55,-0.3,2039
332,2014-05-15,3629608,92017198,25.5,25.7,25.15,25.25,-0.3,1225
333,2014-05-16,3832189,97453745,25.2,25.8,25.2,25.3,0.05,1379
334,2014-05-19,3700292,92925977,25.3,25.5,24.9,25.15,-0.15,1083
335,2014-05-20,2344309,58690154,25.15,25.3,24.9,25.0,-0.15,1008
336,2014-05-21,3029395,76554711,25.0,25.45,25.0,25.1,0.1,1067
337,2014-05-22,2549611,64962396,25.2,25.6,25.2,25.45,0.35,1007
338,2014-05-23,3628090,92947517,25.6,26.0,25.2,25.6,0.15,1214
339,2014-05-26,3988670,100705813,25.85,25.9,24.9,25.1,-0.5,1597
340,2014-05-27,10957195,261971346,25.0,25.0,23.4,23.5,-1.6,3917
341,2014-05-28,5779003,136377365,23.5,23.9,23.1,23.7,0.2,2765
342,2014-05-29,3854612,90723125,23.9,23.9,23.35,23.65,-0.05,1718
343,2014-05-30,6345205,152287170,23.75,24.25,23.65,24.0,0.35,2472
344,2014-06-03,4211688,102628533,24.2,24.6,24.1,24.4,0.4,1829
345,2014-06-04,7501289,188573847,24.6,25.55,24.4,25.4,1.0,2679
346,2014-06-05,6195160,158102859,25.4,26.0,25.1,25.4,0.0,2363
347,2014-06-06,4666123,119518109,25.7,25.95,25.2,25.3,-0.1,1621
348,2014-06-09,1863720,47363537,25.3,25.6,25.25,25.3,0.0,677
349,2014-06-10,2580496,65955163,25.6,25.7,25.4,25.55,0.25,1007
350,2014-06-11,9550406,251555511,26.0,26.6,26.0,26.4,0.85,2843
351,2014-06-12,3697319,97350544,26.6,26.7,26.1,26.15,-0.25,1504
352,2014-06-13,4766363,123856260,26.0,26.35,25.5,26.35,0.2,1477
353,2014-06-16,1993499,51832740,26.35,26.35,25.85,25.9,-0.45,771
354,2014-06-17,2634858,68711771,25.9,26.3,25.8,25.85,-0.05,1161
355,2014-06-18,3568324,93201033,26.2,26.4,25.9,26.2,0.35,1650
356,2014-06-19,3264278,84477316,26.2,26.25,25.65,25.75,-0.45,1027
357,2014-06-20,9635656,255610813,26.35,26.85,26.1,26.4,0.65,2842
358,2014-06-23,7681300,205460686,26.65,27.05,26.1,26.65,0.25,2771
