,date,capacity,turnover,open,high,low,close,change,transaction
0,2013-01-02,1340523,20781940,15.45,15.65,15.35,15.4,0.15,507
1,2013-01-03,921375,14268223,15.55,15.6,15.4,15.5,0.1,304
2,2013-01-04,960300,14927058,15.6,15.65,15.45,15.55,0.05,383
3,2013-01-07,689736,10738806,15.6,15.65,15.5,15.6,0.05,263
4,2013-01-08,820717,12678003,15.6,15.65,15.3,15.4,-0.2,283
5,2013-01-09,575294,8836759,15.4,15.45,15.3,15.35,-0.05,187
6,2013-01-10,674858,10451511,15.4,15.55,15.4,15.5,0.15,275
7,2013-01-11,930841,14480134,15.7,15.7,15.45,15.55,0.05,271
8,2013-01-14,598415,9282100,15.55,15.6,15.45,15.45,-0.1,176
9,2013-01-15,539297,8292923,15.45,15.5,15.3,15.4,-0.05,192
10,2013-01-16,622717,9513474,15.3,15.4,15.2,15.2,-0.2,255
11,2013-01-17,779458,11688750,15.25,15.3,14.8,14.8,-0.4,323
12,2013-01-18,506122,7604562,14.9,15.1,14.9,15.0,0.2,198
13,2013-01-21,530380,8085632,15.15,15.35,15.1,15.3,0.3,237
14,2013-01-22,356615,5455136,15.35,15.35,15.2,15.25,-0.05,141
15,2013-01-23,525818,8094514,15.25,15.5,15.25,15.4,0.15,195
16,2013-01-24,347049,5299847,15.4,15.4,15.1,15.1,-0.3,151
17,2013-01-25,337160,5106813,15.15,15.2,15.1,15.1,0.0,144
18,2013-01-28,238227,3601564,15.1,15.2,15.05,15.1,0.0,100
19,2013-01-29,390790,5904615,15.1,15.2,15.1,15.1,0.0,147
20,2013-01-30,257050,3898949,15.1,15.25,15.1,15.15,0.05,121
21,2013-01-31,232729,3522270,15.2,15.2,15.1,15.1,-0.05,89
22,2013-02-01,437861,6628555,15.1,15.2,15.05,15.1,0.0,136
23,2013-02-04,511689,7761320,15.2,15.25,15.1,15.15,0.05,188
24,2013-02-05,512473,7798137,15.15,15.3,15.1,15.3,0.15,215
25,2013-02-06,7570519,121747725,15.8,16.35,15.75,16.25,0.95,2688
26,2013-02-18,2455899,39164852,16.25,16.25,15.8,15.85,-0.4,791
27,2013-02-19,919297,14517924,15.8,15.95,15.7,15.8,-0.05,365
28,2013-02-20,850477,13417935,15.8,15.9,15.7,15.7,-0.1,352
29,2013-02-21,752723,11817238,15.7,15.85,15.65,15.65,-0.05,284
30,2013-02-22,513805,8025353,15.6,15.7,15.55,15.6,-0.05,204
31,2013-02-23,732203,11447335,15.7,15.8,15.5,15.65,0.05,318
32,2013-02-25,634540,9869234,15.6,15.65,15.5,15.55,-0.1,259
33,2013-02-26,490301,7598814,15.4,15.6,15.4,15.45,-0.1,162
34,2013-02-27,494758,7646908,15.45,15.5,15.4,15.5,0.05,179
35,2013-03-01,521456,8076269,15.5,15.55,15.4,15.5,0.0,193
36,2013-03-04,620973,9587481,15.5,15.6,15.35,15.35,-0.15,229
37,2013-03-05,413954,6390683,15.35,15.5,15.35,15.5,0.15,158
38,2013-03-06,373660,5798040,15.55,15.6,15.45,15.45,-0.05,161
39,2013-03-07,467084,7230991,15.55,15.55,15.4,15.5,0.05,167
40,2013-03-08,404419,6294469,15.55,15.65,15.5,15.5,0.0,167
41,2013-03-11,688197,10630767,15.5,15.5,15.35,15.4,-0.1,289
42,2013-03-12,2357340,37166523,15.4,16.05,15.35,16.05,0.65,748
43,2013-03-13,3855832,62458062,16.1,16.5,15.85,15.85,-0.2,1211
44,2013-03-14,774953,12125113,15.8,15.8,15.55,15.6,-0.25,337
45,2013-03-15,383981,6006302,15.65,15.8,15.55,15.55,-0.05,177
46,2013-03-18,650560,10031393,15.55,15.6,15.3,15.35,-0.2,317
47,2013-03-19,426105,6578864,15.35,15.5,15.35,15.45,0.1,143
48,2013-03-20,302247,4668235,15.55,15.55,15.35,15.4,-0.05,114
49,2013-03-21,242080,3736427,15.45,15.5,15.35,15.4,0.0,121
50,2013-03-22,249556,3845488,15.35,15.45,15.35,15.45,0.05,84
51,2013-03-25,309790,4795412,15.55,15.55,15.4,15.45,0.0,128
52,2013-03-26,228006,3521592,15.5,15.5,15.4,15.45,0.0,87
53,2013-03-27,445770,6885074,15.4,15.5,15.4,15.5,0.05,175
54,2013-03-28,206646,3195225,15.5,15.5,15.4,15.45,-0.05,91
55,2013-03-29,540052,8404552,15.5,15.6,15.5,15.6,0.15,207
56,2013-04-01,725411,11326814,15.6,15.75,15.5,15.6,0.0,266
57,2013-04-02,448651,7000136,15.6,15.65,15.55,15.6,0.0,190
58,2013-04-03,780531,12137668,15.6,15.65,15.5,15.55,-0.05,276
59,2013-04-08,1300243,19442067,15.35,15.35,14.6,14.9,-0.65,432
60,2013-04-09,785071,11752140,14.9,15.1,14.9,14.95,0.05,286
61,2013-04-10,389713,5852574,14.95,15.1,14.95,15.0,0.05,188
62,2013-04-11,457637,6956782,15.05,15.3,15.05,15.3,0.3,228
63,2013-04-12,417243,6385057,15.4,15.45,15.15,15.2,-0.1,174
64,2013-04-15,594738,8953420,15.05,15.2,15.0,15.0,-0.2,178
65,2013-04-16,578039,8528797,14.8,14.9,14.6,14.8,-0.2,206
66,2013-04-17,527233,7955221,14.8,15.35,14.8,15.1,0.3,281
67,2013-04-18,494842,7511960,15.15,15.25,15.1,15.2,0.1,246
68,2013-04-19,671535,10137380,15.15,15.2,14.9,15.1,-0.1,205
69,2013-04-22,329244,4970235,15.1,15.2,15.05,15.05,-0.05,150
70,2013-04-23,255521,3871415,15.1,15.2,15.05,15.2,0.15,124
71,2013-04-24,396850,6022875,15.2,15.2,15.15,15.15,-0.05,158
72,2013-04-25,590353,8911177,15.1,15.15,15.05,15.1,-0.05,222
73,2013-04-26,1107401,16879244,15.15,15.45,15.05,15.2,0.1,383
74,2013-04-29,603831,9241529,15.3,15.4,15.2,15.3,0.1,204
75,2013-04-30,753232,11548535,15.3,15.45,15.25,15.35,0.05,219
76,2013-05-02,248716,3791974,15.25,15.3,15.2,15.3,-0.05,99
77,2013-05-03,320689,4905419,15.3,15.35,15.25,15.3,0.0,129
78,2013-05-06,711549,10924546,15.3,15.5,15.3,15.35,0.05,257
79,2013-05-07,1080943,16694970,15.45,15.5,15.4,15.5,0.15,347
80,2013-05-08,510773,7891564,15.5,15.5,15.4,15.4,-0.1,217
81,2013-05-09,883374,13643825,15.5,15.55,15.4,15.5,0.1,314
82,2013-05-10,550060,8548585,15.5,15.6,15.45,15.6,0.1,221
83,2013-05-13,456640,7078423,15.6,15.6,15.45,15.45,-0.15,161
84,2013-05-14,231341,3583383,15.45,15.55,15.4,15.5,0.05,115
85,2013-05-15,316571,4913170,15.5,15.6,15.5,15.5,0.0,147
86,2013-05-16,701021,10967828,15.55,15.7,15.55,15.7,0.2,271
87,2013-05-17,1229766,19424710,15.7,15.95,15.65,15.85,0.15,352
88,2013-05-20,1254104,20100201,15.9,16.15,15.9,16.0,0.15,387
89,2013-05-21,639655,10186948,16.0,16.1,15.85,15.85,-0.15,215
90,2013-05-22,550488,8749680,15.85,15.95,15.8,15.85,0.0,288
91,2013-05-23,709770,11133659,15.8,15.85,15.6,15.6,-0.25,330
92,2013-05-24,483001,7561613,15.6,15.8,15.6,15.65,0.05,198
93,2013-05-27,508772,8032429,15.7,15.95,15.65,15.95,0.3,177
94,2013-05-28,531487,8437887,15.95,15.95,15.8,15.9,-0.05,209
95,2013-05-29,670500,10660797,15.9,15.95,15.85,15.85,-0.05,207
96,2013-05-30,432073,6837932,15.85,15.95,15.7,15.85,0.0,233
97,2013-05-31,728856,11630213,15.9,16.0,15.8,15.85,0.0,248
98,2013-06-03,906409,14462031,15.8,16.05,15.8,15.95,0.1,268
99,2013-06-04,786172,12609130,16.1,16.15,15.9,16.0,0.05,298
100,2013-06-05,391500,6230019,16.0,16.0,15.85,15.85,-0.15,153
101,2013-06-06,238003,3763445,15.8,15.85,15.8,15.8,-0.05,93
102,2013-06-07,388815,6147703,15.8,15.9,15.75,15.75,-0.05,133
103,2013-06-10,250113,3953479,15.75,15.9,15.75,15.75,0.0,90
